pid,source,label,creator,_date,description,location,latitude,longitude,type,rights,order,layout,collection,thumbnail,full,manifest
ec_0001,/buildings/Alspaugh_B2_500px.jpg,Alspaugh Residence Hall,Office of Horace Trumbauer,1926,Georgian Revival,"Duke University;Durham, NC",36.008146,-78.915037,dorm,Duke University Archives,00,building_item,buildings,"/img/derivatives/iiif/images/ec_0001/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0001/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0001/manifest.json
ec_0002,/buildings/Ark_B1_500px.jpg,Angier Buchanan Duke Gymnasium,Unknown,1898,woodframe,"Duke University;Durham, NC",36.007164,-78.913563,gym,Duke University Archives,01,building_item,buildings,"/img/derivatives/iiif/images/ec_0002/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0002/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0002/manifest.json
ec_0003,/buildings/Baldwin_B2_500px.jpg,Baldwin Auditorium,Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.008906,-78.914659,auditorium,Duke University Archives,02,building_item,buildings,"/img/derivatives/iiif/images/ec_0003/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0003/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0003/manifest.json
ec_0004,/buildings/Bassett_B2_500px_0.jpg,Bassett Residence Hall,Office of Horace Trumbauer,1927,Georgian Revival,"Duke University;Durham, NC",36.008774,-78.91418,dorm,Duke University Archives,03,building_item,buildings,"/img/derivatives/iiif/images/ec_0004/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0004/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0004/manifest.json
ec_0005,/buildings/belltower-long.jpg,Bell Tower Residence Hall,Architectural Resources Cambridge,2006,Neotraditional,"Duke University;Durham, NC",36.007032,-78.918468,dorm,Duke University Archives,04,building_item,buildings,"/img/derivatives/iiif/images/ec_0005/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0005/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0005/manifest.json
ec_0006,/buildings/Bishop_B1_500px.jpg,Bishop's House,William Albert Wilkerson,1910,Bungalow,"Duke University;Durham, NC",36.008776,-78.913237,house,Duke University Archives,05,building_item,buildings,"/img/derivatives/iiif/images/ec_0006/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0006/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0006/manifest.json
ec_0007,/buildings/Bivins_B1_500px.jpg,Bivins Building,Unknown,1905,Spanish Mission,"Duke University;Durham, NC",36.008859,-78.917409,dorm,Duke University Archives,06,building_item,buildings,"/img/derivatives/iiif/images/ec_0007/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0007/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0007/manifest.json
ec_0008,"",Blackwell Residence Hall,Architectural Resources Cambridge; Little and Associates Architects,1994,Neotraditional,"Duke University;Durham, NC",36.006448,-78.916255,dorm,Duke University Archives,07,building_item,buildings,"/img/derivatives/iiif/images/ec_0008/full/250,/0/default.jpg","/img/derivatives/iiif/images/ec_0008/full/1140,/0/default.jpg",/img/derivatives/iiif/ec_0008/manifest.json
ec_0009,/buildings/Branson_B1_500px.jpg,Branson Hall,Unknown; Architectural Resources Cambridge; Little and Associates Architects,1899,red brick,"Duke University;Durham, NC",36.007001,-78.916275,academics,Duke University Archives,08,building_item,buildings,"","",""
ec_0010,"",Brodie Recreation Center,Hastings & Chivetta,1922-23,red brick,"Duke University;Durham, NC",36.007324,-78.917141,gym,Duke University Archives,09,building_item,buildings,"","",""
